ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 71, 23, 0.7395833333333334, 0.7183098591549296, 0.8360655737704918, 0.7183098591549296, 1.0, 0.5, 0.9577464788732394, 0.9702970297029702, 0.98, 0.9607843137254902, 0.9553921568627451, 0.9859154929577465, 0.99009900990099, 1.0, 0.9803921568627451, 0.9901960784313726, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9859154929577465, 0.9902912621359222, 0.9807692307692307, 1.0, 0.975
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 57, 15, 0.59375, 0.7368421052631579, 0.8484848484848484, 0.7368421052631579, 1.0, 0.5, 0.9824561403508771, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9824561403508771, 0.9879518072289156, 1.0, 0.9761904761904762, 0.9880952380952381
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 48, 8, 0.5, 0.8125, 0.896551724137931, 0.8125, 1.0, 0.5, 0.9791666666666666, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 0.9791666666666666, 0.9870129870129869, 1.0, 0.9743589743589743, 0.9871794871794872, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 63, 12, 0.65625, 0.8095238095238095, 0.8947368421052632, 0.8095238095238095, 1.0, 0.5, 0.9682539682539683, 0.98, 1.0, 0.9607843137254902, 0.9803921568627452, 0.9682539682539683, 0.98, 1.0, 0.9607843137254902, 0.9803921568627452, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 43, 6, 0.4479166666666667, 0.6976744186046512, 0.8219178082191781, 0.6976744186046512, 1.0, 0.5, 0.9767441860465116, 0.9836065573770492, 0.967741935483871, 1.0, 0.9615384615384616, 0.9767441860465116, 0.9836065573770492, 0.967741935483871, 1.0, 0.9615384615384616, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9767441860465116, 0.9836065573770492, 0.967741935483871, 1.0, 0.9615384615384616
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 57, 32, 0.59375, 0.7894736842105263, 0.8823529411764706, 0.7894736842105263, 1.0, 0.5, 0.9649122807017544, 0.9777777777777777, 0.9777777777777777, 0.9777777777777777, 0.9472222222222222, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9649122807017544, 0.9782608695652174, 0.9574468085106383, 1.0, 0.9166666666666667, 1.0, 1.0, 1.0, 1.0, 1.0
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 59, 15, 0.6145833333333334, 0.7457627118644068, 0.8543689320388349, 0.7457627118644068, 1.0, 0.5, 0.9830508474576272, 0.9885057471264368, 1.0, 0.9772727272727273, 0.9886363636363636, 0.9661016949152542, 0.9772727272727273, 0.9772727272727273, 0.9772727272727273, 0.9553030303030303, 0.9322033898305084, 0.9565217391304348, 0.9166666666666666, 1.0, 0.8666666666666667, 0.9830508474576272, 0.9887640449438202, 0.9777777777777777, 1.0, 0.9666666666666667
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 47, 9, 0.4895833333333333, 0.7659574468085106, 0.8674698795180723, 0.7659574468085106, 1.0, 0.5, 0.9574468085106383, 0.972972972972973, 0.9473684210526315, 1.0, 0.9090909090909091, 0.9574468085106383, 0.9722222222222222, 0.9722222222222222, 0.9722222222222222, 0.9406565656565657, 0.9574468085106383, 0.972972972972973, 0.9473684210526315, 1.0, 0.9090909090909091, 0.9361702127659575, 0.9600000000000001, 0.9230769230769231, 1.0, 0.8636363636363636
gini, 0.95, 0.05, 0.95, 25, target_accuracy, 96, 44, 6, 0.4583333333333333, 0.9318181818181818, 0.9647058823529412, 0.9318181818181818, 1.0, 0.5, 0.9772727272727273, 0.9879518072289156, 0.9761904761904762, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9772727272727273, 0.9879518072289156, 0.9761904761904762, 1.0, 0.8333333333333334, 0.9772727272727273, 0.9879518072289156, 0.9761904761904762, 1.0, 0.8333333333333334
gini, 0.95, 0.05, 0.95, 30, target_accuracy, 96, 0, 0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0
gini, 0.95, 0.05, 0.95, 50, target_accuracy, 96, 39, 3, 0.40625, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
gini, 0.95, 0.05, 0.95, 5, target_accuracy, 96, 75, 26, 0.78125, 0.7466666666666667, 0.8549618320610688, 0.7466666666666667, 1.0, 0.5, 0.9733333333333334, 0.9821428571428571, 0.9821428571428571, 0.9821428571428571, 0.9647556390977445, 0.9733333333333334, 0.9821428571428571, 0.9821428571428571, 0.9821428571428571, 0.9647556390977445, 0.9733333333333334, 0.9821428571428571, 0.9821428571428571, 0.9821428571428571, 0.9647556390977445, 0.9866666666666667, 0.9911504424778761, 0.9824561403508771, 1.0, 0.9736842105263158
gini, 0.95, 0.05, 0.95, 10, target_accuracy, 96, 73, 21, 0.7604166666666666, 0.7671232876712328, 0.8682170542635659, 0.7671232876712328, 1.0, 0.5, 0.9726027397260274, 0.9821428571428571, 0.9821428571428571, 0.9821428571428571, 0.9616596638655462, 0.958904109589041, 0.972972972972973, 0.9818181818181818, 0.9642857142857143, 0.9527310924369748, 0.9726027397260274, 0.9821428571428571, 0.9821428571428571, 0.9821428571428571, 0.9616596638655462, 0.9863013698630136, 0.9911504424778761, 0.9824561403508771, 1.0, 0.9705882352941176
gini, 0.95, 0.05, 0.95, 20, target_accuracy, 96, 45, 8, 0.46875, 0.8, 0.888888888888889, 0.8, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
